ContractNumber;Status;Invoice;Invoice Status;Subscription;Subscription Status;Payment (Asociados al Invoice);Payment Status
00315475;Finalized;9488;PAID;169r1uVKkQ3Ud1mfC;CANCELLED;1;REJECTED x1
00317926;Cancelled;9605;PAID;16CGBIVOz6rZS9pJ;CANCELLED;2;REJECTED x2
00318504;Cancelled;9300;PAID;AzysA0VUI4QmCNnn;CANCELLED;1;REJECTED x1
00316693;Cancelled;2512;PAID;16BQzKVKlCQBZ2Oah;CANCELLED;30;REJECTED x30
00316693;Cancelled;4625;PAID;16BQzKVKlCQBZ2Oah;CANCELLED;13;REJECTED x13
00316693;Cancelled;6940;PAID;16BQzKVKlCQBZ2Oah;CANCELLED;9;REJECTED x9
00316693;Cancelled;9346;PAID;16BQzKVKlCQBZ2Oah;CANCELLED;1;REJECTED x1
00316693;Cancelled;9410;PAID;16BQzKVKlCQBZ2Oah;CANCELLED;1;REJECTED x1
00314952;Cancelled;7543;PAID;AzqU8aVKkMxmA1jg2;CANCELLED;6;REJECTED x6
00314952;Cancelled;7681;PAID;AzqU8aVKkMxmA1jg2;CANCELLED;6;REJECTED x6
00318348;Cancelled;8608;PAID;169zh3VSyBSK599R;CANCELLED;3;REJECTED x3
00318348;Cancelled;8971;PAID;169zh3VSyBSK599R;CANCELLED;2;REJECTED x2
00318287;Cancelled;8612;PAID;AzZv23VTcsCHG2ngn;CANCELLED;3;REJECTED x3
00318287;Cancelled;8973;PAID;AzZv23VTcsCHG2ngn;CANCELLED;2;REJECTED x2
00318185;Cancelled;6842;PAID;6opkHVRj7tuT4cFS;CANCELLED;3;REJECTED x3
00318163;Cancelled;7002;PAID;Azz67SVRXIFwP6Ka;CANCELLED;9;REJECTED x9
00318163;Cancelled;7307;PAID;Azz67SVRXIFwP6Ka;CANCELLED;6;REJECTED x6
00317764;Cancelled;3419;PAID;AzqL3zVNOY0XiAoG;CANCELLED;7;REJECTED x7
00317764;Cancelled;5271;PAID;AzqL3zVNOY0XiAoG;CANCELLED;1;REJECTED x1
00317764;Cancelled;5351;PAID;AzqL3zVNOY0XiAoG;CANCELLED;1;REJECTED x1
00317764;Cancelled;7650;PAID;AzqL3zVNOY0XiAoG;CANCELLED;2;REJECTED x2
00317764;Cancelled;7663;PAID;AzqL3zVNOY0XiAoG;CANCELLED;1;REJECTED x1
00316749;Cancelled;3401;PAID;6oarbVCRM7ZhQM;CANCELLED;17;REJECTED x17
00316749;Cancelled;7942;PAID;6oarbVCRM7ZhQM;CANCELLED;6;REJECTED x6
00317104;Cancelled;2006;PAID;16BRlZVGDFXC98v0;CANCELLED;32;REJECTED x32
00317104;Cancelled;2081;PAID;16BRlZVGDFXC98v0;CANCELLED;26;REJECTED x26
00317104;Cancelled;4048;PAID;16BRlZVGDFXC98v0;CANCELLED;16;REJECTED x16
00317104;Cancelled;4173;PAID;16BRlZVGDFXC98v0;CANCELLED;16;REJECTED x16
00317104;Cancelled;6092;PAID;16BRlZVGDFXC98v0;CANCELLED;11;REJECTED x11
00317104;Cancelled;6452;PAID;16BRlZVGDFXC98v0;CANCELLED;10;REJECTED x10
00317104;Cancelled;8475;PAID;16BRlZVGDFXC98v0;CANCELLED;6;REJECTED x6
00317104;Cancelled;8843;PAID;16BRlZVGDFXC98v0;CANCELLED;5;REJECTED x5
00316996;Activated;683;PAID;Azz6LLVEovLo87pF;CANCELLED;34;REJECTED x34
00316996;Activated;689;PAID;Azz6LLVEovLo87pF;CANCELLED;30;REJECTED x30
00316996;Activated;3302;PAID;Azz6LLVEovLo87pF;CANCELLED;15;REJECTED x15
00316996;Activated;3374;PAID;Azz6LLVEovLo87pF;CANCELLED;7;REJECTED x7
00316996;Activated;5469;PAID;Azz6LLVEovLo87pF;CANCELLED;1;REJECTED x1
00316996;Activated;5563;PAID;Azz6LLVEovLo87pF;CANCELLED;1;REJECTED x1
00316996;Activated;7868;PAID;Azz6LLVEovLo87pF;CANCELLED;1;REJECTED x1
00316996;Activated;7965;PAID;Azz6LLVEovLo87pF;CANCELLED;1;REJECTED x1
00317071;Cancelled;677;PAID;16BfvmVFdbroX1khb;CANCELLED;39;REJECTED x39
00317071;Cancelled;680;PAID;16BfvmVFdbroX1khb;CANCELLED;36;REJECTED x36
00317071;Cancelled;2179;PAID;16BfvmVFdbroX1khb;CANCELLED;28;REJECTED x28
00317071;Cancelled;2209;PAID;16BfvmVFdbroX1khb;CANCELLED;25;REJECTED x25
00317071;Cancelled;4286;PAID;16BfvmVFdbroX1khb;CANCELLED;16;REJECTED x16
00317071;Cancelled;4322;PAID;16BfvmVFdbroX1khb;CANCELLED;15;REJECTED x15
00317071;Cancelled;6565;PAID;16BfvmVFdbroX1khb;CANCELLED;10;REJECTED x10
00317071;Cancelled;6650;PAID;16BfvmVFdbroX1khb;CANCELLED;9;REJECTED x9
00317071;Cancelled;8976;PAID;16BfvmVFdbroX1khb;CANCELLED;6;REJECTED x6
00317071;Cancelled;9062;PAID;16BfvmVFdbroX1khb;CANCELLED;4;REJECTED x4
00316781;Cancelled;371;PAID;AzZqZrVCp6aGy64X;CANCELLED;42;REJECTED x42
00316781;Cancelled;2553;PAID;AzZqZrVCp6aGy64X;CANCELLED;24;REJECTED x24
00316781;Cancelled;2560;PAID;AzZqZrVCp6aGy64X;CANCELLED;22;REJECTED x22
00316781;Cancelled;4664;PAID;AzZqZrVCp6aGy64X;CANCELLED;12;REJECTED x12
00316781;Cancelled;4870;PAID;AzZqZrVCp6aGy64X;CANCELLED;12;REJECTED x12
00316781;Cancelled;6990;PAID;AzZqZrVCp6aGy64X;CANCELLED;8;REJECTED x8
00316781;Cancelled;7212;PAID;AzZqZrVCp6aGy64X;CANCELLED;8;REJECTED x8
00316683;Cancelled;194;PAID;AzyXSZVBng00d71D;CANCELLED;51;REJECTED x51
00316683;Cancelled;455;PAID;AzyXSZVBng00d71D;CANCELLED;40;REJECTED x40
00316683;Cancelled;5276;PAID;AzyXSZVBng00d71D;CANCELLED;11;REJECTED x11
00316683;Cancelled;5354;PAID;AzyXSZVBng00d71D;CANCELLED;11;REJECTED x11
00316683;Cancelled;7657;PAID;AzyXSZVBng00d71D;CANCELLED;7;REJECTED x7
00316683;Cancelled;7746;PAID;AzyXSZVBng00d71D;CANCELLED;7;REJECTED x7
00316937;Cancelled;935;PAID;AzyVf9VEG6Gan2uM;CANCELLED;30;REJECTED x30
00316937;Cancelled;3163;PAID;AzyVf9VEG6Gan2uM;CANCELLED;19;REJECTED x19
00316937;Cancelled;5280;PAID;AzyVf9VEG6Gan2uM;CANCELLED;11;REJECTED x11
00316937;Cancelled;5356;PAID;AzyVf9VEG6Gan2uM;CANCELLED;11;REJECTED x11
00316937;Cancelled;7661;PAID;AzyVf9VEG6Gan2uM;CANCELLED;7;REJECTED x7
00316937;Cancelled;7748;PAID;AzyVf9VEG6Gan2uM;CANCELLED;7;REJECTED x7
00316458;Cancelled;1043;PAID;AzZPPPVKkEG6R1lmn;CANCELLED;27;REJECTED x27
00316458;Cancelled;1044;PAID;AzZPPPVKkEG6R1lmn;CANCELLED;27;REJECTED x27
00316458;Cancelled;3250;PAID;AzZPPPVKkEG6R1lmn;CANCELLED;18;REJECTED x18
00316458;Cancelled;5456;PAID;AzZPPPVKkEG6R1lmn;CANCELLED;11;REJECTED x11
00316458;Cancelled;7771;PAID;AzZPPPVKkEG6R1lmn;CANCELLED;7;REJECTED x7
00316458;Cancelled;7847;PAID;AzZPPPVKkEG6R1lmn;CANCELLED;6;REJECTED x6
00313285;Cancelled;4975;PAID;AzZPPPVKkKFXh1q4T;CANCELLED;13;REJECTED x13
00313285;Cancelled;7327;PAID;AzZPPPVKkKFXh1q4T;CANCELLED;5;REJECTED x5
00313285;Cancelled;7587;PAID;AzZPPPVKkKFXh1q4T;CANCELLED;5;REJECTED x5
00315857;Cancelled;7145;PAID;6oqnEVKkad7l1t1H;CANCELLED;8;REJECTED x8
00315561;Cancelled;4772;PAID;16BbOAVKkYrjH21Jm;CANCELLED;10;REJECTED x10
00315613;Cancelled;5831;PAID;16BQzKVKlUc3Q2Xo2;CANCELLED;9;REJECTED x9
00315613;Cancelled;6319;PAID;16BQzKVKlUc3Q2Xo2;CANCELLED;9;REJECTED x9
00315613;Cancelled;8259;PAID;16BQzKVKlUc3Q2Xo2;CANCELLED;4;REJECTED x4
00315613;Cancelled;8712;PAID;16BQzKVKlUc3Q2Xo2;CANCELLED;3;REJECTED x3
00317127;Cancelled;7247;PAID;16BRxFVGPibMLCc6;CANCELLED;9;REJECTED x9
00316656;Cancelled;7577;PAID;169r1uVKknV9v20tV;CANCELLED;6;REJECTED x6
00316656;Cancelled;7709;PAID;169r1uVKknV9v20tV;CANCELLED;6;REJECTED x6
00317843;Cancelled;4312;PAID;AzZSMBVO9ui3MxEe;CANCELLED;9;REJECTED x9
00317843;Cancelled;4359;PAID;AzZSMBVO9ui3MxEe;CANCELLED;9;REJECTED x9
00317843;Cancelled;6634;PAID;AzZSMBVO9ui3MxEe;CANCELLED;2;REJECTED x2
00317843;Cancelled;6719;PAID;AzZSMBVO9ui3MxEe;CANCELLED;1;REJECTED x1
00317511;Cancelled;5981;PAID;AzZtVoVKO0TTcAIB;CANCELLED;2;REJECTED x2
00317511;Cancelled;6401;PAID;AzZtVoVKO0TTcAIB;CANCELLED;1;REJECTED x1
00317511;Cancelled;8401;PAID;AzZtVoVKO0TTcAIB;CANCELLED;1;REJECTED x1
00317511;Cancelled;8787;PAID;AzZtVoVKO0TTcAIB;CANCELLED;1;REJECTED x1
00316903;Cancelled;2419;PAID;6objsVKlCZPl2P0h;CANCELLED;11;REJECTED x11
00316903;Cancelled;2456;PAID;6objsVKlCZPl2P0h;CANCELLED;8;REJECTED x8
00316903;Cancelled;4531;PAID;6objsVKlCZPl2P0h;CANCELLED;1;REJECTED x1
00316903;Cancelled;4634;PAID;6objsVKlCZPl2P0h;CANCELLED;1;REJECTED x1
00316903;Cancelled;6854;PAID;6objsVKlCZPl2P0h;CANCELLED;1;REJECTED x1
00316903;Cancelled;6949;PAID;6objsVKlCZPl2P0h;CANCELLED;1;REJECTED x1
00316665;Cancelled;2994;PAID;16CL3aVKkoKKP2Ay9;CANCELLED;17;REJECTED x17
00316665;Cancelled;5128;PAID;16CL3aVKkoKKP2Ay9;CANCELLED;9;REJECTED x9
00316665;Cancelled;5251;PAID;16CL3aVKkoKKP2Ay9;CANCELLED;10;REJECTED x10
00316665;Cancelled;7484;PAID;16CL3aVKkoKKP2Ay9;CANCELLED;4;REJECTED x4
00316665;Cancelled;7627;PAID;16CL3aVKkoKKP2Ay9;CANCELLED;3;REJECTED x3
00316432;Cancelled;1052;PAID;AzynG1VKkHSqH1gDM;CANCELLED;25;REJECTED x25
00316432;Cancelled;3238;PAID;AzynG1VKkHSqH1gDM;CANCELLED;16;REJECTED x16
00316432;Cancelled;3288;PAID;AzynG1VKkHSqH1gDM;CANCELLED;16;REJECTED x16
00316432;Cancelled;5400;PAID;AzynG1VKkHSqH1gDM;CANCELLED;10;REJECTED x10
00316432;Cancelled;5518;PAID;AzynG1VKkHSqH1gDM;CANCELLED;9;REJECTED x9
00316432;Cancelled;7788;PAID;AzynG1VKkHSqH1gDM;CANCELLED;5;REJECTED x5
00316432;Cancelled;7947;PAID;AzynG1VKkHSqH1gDM;CANCELLED;4;REJECTED x4
